SOUSCWY12A8C13BB1B,"La Fuente","Exitos Y Mas Exitos","Nino Segarra",2007
SOCEPEL12AB01871AC,"Bis etz woas guat","DA SCHMEIST DI WEG!","Hinz & Kunz",0
SOMISIP12AAA15E700,Ohio,"Chin chin","Chin Chin",0
SONZFTC12AB017D5AA,"London Town","London Town","Man Like Me",2009
SOMWNNU12A8C136DFC,"Holy (live)","Live in Hamburg 2007","Eagle Seagull",2008
SOTHQNN12AB01808D0,Star,"Love Beyond Reach","Suicidal Romance",2007
SOCOAND12A6D4FA601,"Danny Boy","Steal Away","Charlie Haden",0
SOGPFIH12A58A7A4DE,"One Night Stand","Coming of Age",COM.A,0
SOFBVPX12A8C14218D,"Almost Persuaded","Karaoke: Country Gents - Singing to the Hits","David Houston",1966
SOVSFEP12A8C1355E8,"Battle Into Heaven","Journey To The West",Monkey,0
SOMWIBS12AB018570F,America,"America Calling","Eye To Eye",0
SOVWYYF12A8C1410AE,"Synthetically Revived","Human Waste",Suffocation,1991
SOGDNKR12A8C137E8A,"Lo Que Quieras De Mi","30 Mejores","Los Diablitos",2001
SOQTKER12AF72A7380,"When I See You","Running 4 President Chopped Not Slopped","Mike Jones",0
SOGQOAE12AB017FC51,"Red Baron","Original Album Classics","Marcus Miller",2001
SOHLJZJ12A6D4F5E23,"Now And Forever","Paid Vacation","Richard Marx",1993
SOHGJMR12A8C143B04,"Craighead County Sky",Traveler,"Abalone Dots",0
SOTDTTM12A8C14128E,"Take It's Own Time","Scribbled In Chalk","Karine Polwart",2006
SOLSOBO12A8C131A13,"Panhandle Rag","Thats Music - The Good Old Time - Die Gute Alte Zeit - Entertainer","Leon McAuliffe & His Western Swing Band",2005
SOTDPAY12A8C13355B,Erzsebet,"Promises In Blood","Paths Of Possession",2005
SOOOOTU12A8C132BA5,"Red Letter Day","Unleashed Live","Bruce Robison",0
SOXNPDH12A8AE45777,"Distant Thunder","Heidi Berry","Heidi Berry",1993
SOPGNYX12A8C13D9C3,Flaute,Expedition,"Index ID",0
SOGEBKM12AB017F836,"Ca Nous Correspond Pas","L'Esquisse","Keny Arkana",2005
SORYDWP12A670207DC,"Love Always Finds A Reason","Lonely Is The Night","Lory Bianco",1990
SOSNWTZ12A8C13E249,Ariya,"No Accomodation for Lagos/No Discrimination",Shakatak,0
SODYFPG12AB018A818,"Sangen Om Å Være Forelsket","Absolutt Ikke Bare Egil Band","Bare Egil Band",0
SOYTNYF12AB018242F,"La Berceuse","Les Racines dans le Béton",Koriass,2008
